Sensor #,Time,pm 1,pm 2.5,pm 10,in or out
9,5018,3,4,4,in
9,8749,2,2,2,in
9,10175,2,2,2,in
9,11082,2,3,3,in
9,11923,2,3,3,in
9,12763,2,3,3,in
9,13670,1,2,2,in
9,14512,1,2,2,in
9,15353,1,2,2,in
9,16261,1,2,2,in
9,17102,1,2,2,in
9,17943,1,2,2,in
9,18851,1,3,3,in
9,19692,1,3,3,in
9,20534,1,3,3,in
9,21441,1,3,3,in
9,22283,1,3,3,in
9,23123,1,3,3,in
9,24032,1,3,3,in
9,24872,1,3,3,in
9,25713,1,3,3,in
9,26621,1,3,3,in
9,27462,1,3,3,in
9,28304,1,3,3,in
9,29211,1,3,3,in
9,30052,1,3,3,in
9,30894,1,3,3,in
9,31802,1,3,3,in
9,32643,1,3,3,in
9,33484,1,3,3,in
9,34392,1,2,2,in
9,35232,2,3,3,in
9,36074,2,3,3,in
9,36981,2,3,3,in
9,37822,1,2,2,in
9,38663,1,2,2,in
9,39570,1,3,3,in
9,40412,1,3,3,in
9,41252,1,3,3,in
9,42161,1,3,3,in
9,43000,1,3,3,in
9,43842,1,3,3,in
9,44749,1,3,3,in
9,45590,1,3,3,in
9,46431,1,3,3,in
9,47339,1,2,2,in
9,48181,1,2,2,in
9,49021,1,2,2,in
9,49929,1,2,2,in
9,50770,1,2,2,in
9,51611,1,2,2,in
9,52519,1,2,2,in
9,53360,1,2,2,in
9,54201,1,2,2,in
9,55109,1,3,3,in
9,55951,1,3,3,in
9,56791,1,3,3,in
9,57700,1,2,2,in
9,58539,1,2,2,in
9,59379,1,2,2,in
9,60288,1,2,2,in
9,61128,1,2,2,in
9,61969,1,2,2,in
9,62877,1,3,3,in
9,63718,1,3,3,in
9,64559,1,3,3,in
9,65467,1,2,2,in
9,66308,1,2,2,in
9,67149,1,2,2,in
9,68058,1,2,2,in
9,68899,1,2,2,in
9,69740,1,2,2,in
9,70648,1,2,2,in
9,71489,1,2,2,in
9,72330,1,2,2,in
9,73237,1,2,2,in
9,74078,1,2,2,in
9,74919,1,2,2,in
9,75827,1,2,2,in
9,76667,2,3,3,in
9,77508,2,3,3,in
9,78416,2,2,2,in
9,79257,2,2,2,in
9,80098,1,1,1,in
9,81005,1,2,2,in
9,81846,1,2,2,in
9,82686,2,3,3,in
9,83594,2,3,3,in
9,84434,2,3,3,in
9,85275,2,3,3,in
9,86182,2,3,4,in
9,87024,2,3,4,in
9,87864,2,3,4,in
9,88772,2,3,4,in
9,89613,2,3,4,in
9,90454,2,3,4,in
9,91362,2,3,4,in
9,92203,2,3,4,in
9,93042,2,3,4,in
9,93950,2,3,4,in
9,94791,2,3,4,in
9,95632,2,3,4,in
9,96539,2,3,4,in
9,97380,2,3,4,in
9,98222,2,3,4,in
9,99129,2,4,5,in
9,99970,2,4,5,in
9,100810,2,4,5,in
9,101719,2,3,4,in
9,102558,2,3,4,in
9,103399,2,3,4,in
9,104307,2,3,4,in
9,105148,2,3,4,in
9,105988,2,3,4,in
9,106896,2,2,3,in
9,107737,2,2,3,in
9,108577,2,2,3,in
9,109486,2,3,4,in
9,110325,2,3,4,in
9,111166,2,3,4,in
9,112074,1,2,2,in
9,112915,1,2,2,in
9,113756,1,2,2,in
9,114663,1,2,2,in
9,115504,2,3,3,in
9,116344,2,3,3,in
9,117253,2,2,2,in
9,118093,2,2,2,in
9,118934,2,2,2,in
9,119841,2,2,2,in
9,120683,2,2,2,in
9,121524,1,1,1,in
9,122431,0,1,1,in
9,123272,0,1,1,in
9,124112,0,1,1,in
9,125020,0,1,1,in
9,125861,0,1,1,in
9,126702,0,1,1,in
9,127610,0,1,1,in
9,128451,0,1,1,in
9,129293,0,1,1,in
9,130200,0,2,2,in
9,131041,0,2,2,in
9,131881,0,2,2,in
9,132789,1,3,3,in
9,133630,1,3,3,in
9,134471,1,3,3,in
9,135378,1,3,3,in
9,136219,1,3,3,in
9,137060,1,3,3,in
9,137968,1,3,3,in
9,138809,1,3,3,in
9,139650,1,3,3,in
9,140558,2,4,4,in
9,141399,2,4,4,in
9,142239,2,4,4,in
9,143148,2,4,4,in
9,143987,2,4,4,in
9,144829,2,4,4,in
9,145737,2,4,4,in
9,146577,2,4,4,in
9,147418,2,4,4,in
9,148326,2,5,5,in
9,149167,2,5,5,in
9,150008,2,5,5,in
9,150916,2,5,5,in
9,151756,2,5,5,in
9,152598,2,5,5,in
9,153505,2,4,4,in
9,154346,2,4,4,in
9,155187,2,4,4,in
9,156094,2,4,4,in
9,156935,1,3,3,in
9,157775,1,3,3,in
9,158684,1,4,4,in
9,159524,1,4,4,in
9,160365,1,4,4,in
9,161272,1,4,6,in
9,162113,1,4,6,in
9,162954,2,5,7,in
9,163861,1,5,7,in
9,164702,1,5,7,in
9,165542,1,5,7,in
9,166451,1,4,6,in
9,167291,1,4,6,in
9,168132,1,4,6,in
9,169040,0,3,5,in
9,169881,0,3,5,in
9,170722,0,3,5,in
9,171630,1,4,6,in
9,172471,1,4,6,in
9,173312,1,4,6,in
9,174220,1,5,7,in
9,175060,0,4,6,in
9,175901,0,4,6,in
9,176808,1,4,6,in
9,177650,1,4,6,in
9,178490,1,4,6,in
9,179398,1,4,6,in
9,180239,1,4,6,in
9,181079,2,5,7,in
9,181987,2,4,6,in
9,182828,2,4,6,in
9,183668,1,3,5,in
9,184576,0,2,4,in
9,185416,0,2,4,in
9,186258,0,2,4,in
9,187165,1,2,3,in
9,188006,1,2,3,in
9,188847,1,2,3,in
9,189755,2,3,3,in
9,190596,2,3,3,in
9,191436,2,3,3,in
9,192344,1,2,2,in
9,193184,1,2,2,in
9,194025,1,2,2,in
9,194932,1,2,2,in
9,195774,2,3,3,in
9,196615,2,3,3,in
9,197522,2,3,3,in
9,198363,2,3,3,in
9,199203,2,3,3,in
9,200112,2,3,3,in
9,200952,2,3,3,in
9,201794,2,3,3,in
9,202701,2,2,2,in
9,203542,2,2,2,in
9,204382,1,1,1,in
9,205290,1,2,3,in
9,206132,1,2,3,in
9,206972,1,2,3,in
9,207880,1,2,3,in
9,208721,1,2,3,in
9,209562,1,2,3,in
9,210469,1,3,4,in
9,211311,1,3,4,in
9,212152,1,3,4,in
9,213060,1,2,4,in
9,213901,1,2,4,in
9,214742,1,2,4,in
9,215650,1,2,3,in
9,216491,1,2,3,in
9,217332,1,2,3,in
9,218240,1,2,3,in
9,219080,1,2,3,in
9,219921,1,2,3,in
9,220829,1,2,3,in
9,221669,1,2,3,in
9,222511,1,2,3,in
9,223419,1,2,3,in
9,224260,1,2,3,in
9,225100,2,3,4,in
9,226010,2,3,4,in
9,226849,2,3,4,in
9,227690,2,3,4,in
9,228599,1,2,3,in
9,229440,1,2,3,in
9,230281,1,2,3,in
9,231188,2,3,3,in
9,232029,2,3,3,in
9,232869,2,3,3,in
9,233778,2,4,4,in
9,234618,2,4,4,in
9,235460,2,4,4,in
9,236368,1,3,3,in
9,237209,1,3,3,in
9,238051,1,3,3,in
9,238958,2,3,3,in
9,239799,2,3,3,in
9,240640,1,2,2,in
9,241548,1,3,3,in
9,242387,1,3,3,in
9,243228,2,4,4,in
9,244136,2,4,4,in
9,244977,2,4,4,in
9,245818,2,4,4,in
9,246726,2,4,4,in
9,247567,2,4,4,in
9,248409,2,4,4,in
9,249316,2,3,3,in
9,250158,2,3,3,in
9,250998,2,3,3,in
9,251907,2,3,3,in
9,252747,2,3,3,in
9,253588,2,3,3,in
9,254495,2,3,3,in
9,255337,2,3,3,in
9,256178,2,3,3,in
9,257085,2,3,3,in
9,257926,2,3,3,in
9,258766,2,3,3,in
9,259674,2,3,3,in
9,260514,2,3,3,in
9,261356,2,3,3,in
9,262263,2,3,3,in
9,263104,2,3,3,in
9,263945,2,3,3,in
9,264852,2,2,2,in
9,265693,2,2,2,in
9,266534,2,2,2,in
9,267443,2,3,3,in
9,268283,2,3,3,in
9,269124,2,3,3,in
9,270031,2,3,3,in
9,270872,2,3,3,in
9,271714,2,3,3,in
9,272622,1,2,2,in
9,273463,1,2,2,in
9,274305,1,2,2,in
9,275213,0,2,2,in
9,276055,1,3,3,in
9,276894,1,3,3,in
9,277803,1,3,3,in
9,278642,1,3,3,in
9,279484,1,3,3,in
9,280391,1,3,3,in
9,281232,1,3,3,in
9,282073,0,2,2,in
9,282981,0,2,2,in
9,283822,0,2,2,in
9,284663,1,3,3,in
9,285571,2,3,3,in
9,286411,2,3,3,in
9,287253,2,3,3,in
9,288160,1,2,2,in
9,289001,1,2,2,in
9,289842,1,2,2,in
9,290750,1,2,2,in
9,291591,1,2,2,in
