"","sensor","time","pm_1","pm_25","pm_10","location","day","sen","build_age","direction"
"1",3,14354,22,38,49,"in","Tuesday","03","new","east"
"2",3,15196,22,38,49,"in","Tuesday","03","new","east"
"3",3,16036,22,38,49,"in","Tuesday","03","new","east"
"4",3,16950,22,39,50,"in","Tuesday","03","new","east"
"5",3,17792,21,38,49,"in","Tuesday","03","new","east"
"6",3,18632,21,38,49,"in","Tuesday","03","new","east"
"7",3,19546,22,38,48,"in","Tuesday","03","new","east"
"8",3,20387,22,38,48,"in","Tuesday","03","new","east"
"9",3,21228,22,38,48,"in","Tuesday","03","new","east"
"10",3,22141,22,39,50,"in","Tuesday","03","new","east"
"11",3,22983,22,39,50,"in","Tuesday","03","new","east"
"12",3,23824,22,39,50,"in","Tuesday","03","new","east"
"13",3,24737,23,40,50,"in","Tuesday","03","new","east"
"14",3,25579,23,40,50,"in","Tuesday","03","new","east"
"15",3,26420,23,40,50,"in","Tuesday","03","new","east"
"16",3,27333,23,41,51,"in","Tuesday","03","new","east"
"17",3,28175,23,41,51,"in","Tuesday","03","new","east"
"18",3,29016,23,41,51,"in","Tuesday","03","new","east"
"19",3,29929,23,40,51,"in","Tuesday","03","new","east"
"20",3,30771,23,40,51,"in","Tuesday","03","new","east"
"21",3,31611,23,40,51,"in","Tuesday","03","new","east"
"22",3,32525,24,40,51,"in","Tuesday","03","new","east"
"23",3,33366,24,40,51,"in","Tuesday","03","new","east"
"24",3,34207,24,40,51,"in","Tuesday","03","new","east"
"25",3,35121,24,41,51,"in","Tuesday","03","new","east"
"26",3,35962,24,41,51,"in","Tuesday","03","new","east"
"27",3,36803,24,41,51,"in","Tuesday","03","new","east"
"28",3,37716,24,40,51,"in","Tuesday","03","new","east"
"29",3,38557,25,41,52,"in","Tuesday","03","new","east"
"30",3,39399,25,41,52,"in","Tuesday","03","new","east"
"31",3,40311,26,42,53,"in","Tuesday","03","new","east"
"32",3,41153,26,42,53,"in","Tuesday","03","new","east"
"33",3,41995,25,41,52,"in","Tuesday","03","new","east"
"34",3,42908,25,41,52,"in","Tuesday","03","new","east"
"35",3,43821,25,40,51,"in","Tuesday","03","new","east"
"36",3,44734,25,41,51,"in","Tuesday","03","new","east"
"37",3,45646,24,40,50,"in","Tuesday","03","new","east"
"38",3,46559,24,40,49,"in","Tuesday","03","new","east"
"39",3,47471,22,38,48,"in","Tuesday","03","new","east"
"40",3,48385,22,38,46,"in","Tuesday","03","new","east"
"41",3,49296,21,37,46,"in","Tuesday","03","new","east"
"42",3,50208,21,35,44,"in","Tuesday","03","new","east"
"43",3,51122,21,35,41,"in","Tuesday","03","new","east"
"44",3,52034,19,32,36,"in","Tuesday","03","new","east"
"45",3,52946,19,33,38,"in","Tuesday","03","new","east"
"46",3,53859,18,33,37,"in","Tuesday","03","new","east"
"47",3,54771,18,32,38,"in","Tuesday","03","new","east"
"48",3,55612,18,32,38,"in","Tuesday","03","new","east"
"49",3,56524,18,32,37,"in","Tuesday","03","new","east"
"50",3,57366,18,32,37,"in","Tuesday","03","new","east"
"51",3,58208,18,32,37,"in","Tuesday","03","new","east"
"52",3,59120,18,32,38,"in","Tuesday","03","new","east"
"53",3,59962,18,32,38,"in","Tuesday","03","new","east"
"54",3,60804,18,32,38,"in","Tuesday","03","new","east"
"55",3,61716,18,32,40,"in","Tuesday","03","new","east"
"56",3,62558,19,33,41,"in","Tuesday","03","new","east"
"57",3,63398,19,33,41,"in","Tuesday","03","new","east"
"58",3,64311,20,33,41,"in","Tuesday","03","new","east"
"59",3,65153,19,32,40,"in","Tuesday","03","new","east"
