S02PM25,S09PM2.5,S03PM25,S08PM25,S10PM25,S14PM2.5,S15PM25,S17PM25,S18PM25,S19PM25,S20PM25
15,22,15,15,11,10,9,7,13,15,12
15,22,15,16,11,10,8,15,15,13,12
15,21,14,16,12,10,9,15,16,13,13
15,21,14,16,12,10,9,15,16,14,13
15,21,14,16,12,10,8,15,15,14,13
15,21,14,16,12,10,8,15,15,14,13
15,21,14,17,12,10,8,15,15,14,12
15,21,14,17,12,10,9,15,16,14,12
15,19,14,17,12,10,8,15,16,15,12
13,19,14,17,12,10,8,15,16,15,13
13,19,14,17,12,10,8,15,16,15,13
13,17,13,17,13,10,7,16,16,14,13
13,18,13,16,13,11,7,16,16,15,13
13,18,13,16,13,11,7,16,16,15,13
13,18,13,16,13,11,6,16,15,15,13
12,18,13,15,13,11,6,16,15,14,13
12,18,13,15,13,11,6,16,14,14,12
12,18,12,15,13,11,6,16,14,14,12
12,18,12,13,14,11,6,16,14,13,12
12,18,12,13,15,10,6,15,13,13,11
12,17,11,13,16,10,6,15,13,13,11
12,17,11,13,16,10,7,15,13,13,11
12,17,11,13,17,10,7,15,13,13,11
12,17,13,13,16,10,7,15,13,13,12
11,17,13,13,17,11,7,15,13,12,12
11,17,13,13,18,11,7,15,13,12,12
11,17,13,13,18,11,7,15,13,12,12
12,17,13,13,18,11,7,15,13,12,12
12,17,13,13,18,11,6,15,13,12,12
12,17,14,13,17,11,7,15,13,12,12
11,17,14,13,17,11,7,15,13,12,12
11,17,14,13,16,11,8,15,13,12,11
11,16,13,13,17,11,7,16,13,12,11
11,15,13,13,17,11,7,16,13,12,11
11,15,13,13,18,11,7,16,13,12,12
11,16,13,13,17,11,7,15,14,12,12
11,18,13,12,17,10,7,15,14,12,12
11,19,13,12,17,10,7,15,14,12,11
11,20,12,12,16,10,6,15,13,12,11
12,20,12,13,16,10,6,16,13,11,11
12,22,12,13,16,11,6,15,12,11,11
12,23,12,13,15,11,6,15,12,11,11
12,23,12,13,15,10,7,14,12,11,11
12,24,12,13,15,10,7,14,10,11,11
12,25,12,13,15,10,8,14,10,11,11
12,24,12,12,15,10,8,14,11,11,11
12,24,13,12,15,10,8,14,11,11,11
12,24,13,12,15,9,8,15,11,11,11
12,24,13,13,15,10,8,16,11,11,11
12,24,13,13,15,10,8,16,9,11,11
12,24,14,13,15,10,7,16,9,11,11
12,24,14,13,15,10,7,16,9,12,10
12,24,14,13,15,10,6,16,11,12,11
14,23,13,13,14,10,7,17,11,12,11
14,23,13,14,17,11,7,18,11,11,12
14,23,13,14,17,11,7,18,11,11,12
14,24,11,14,18,11,7,18,10,11,12
13,24,11,13,18,9,7,17,10,11,11
12,24,11,13,19,9,7,17,10,11,12
12,23,11,13,18,9,6,17,10,11,12
12,23,12,13,18,10,6,17,10,12,12
12,24,12,13,18,10,6,16,10,12,13
12,25,11,13,18,10,5,15,11,12,13
11,26,10,14,18,10,5,15,11,13,13
11,26,10,14,18,10,5,15,12,13,12
11,25,10,14,18,10,6,15,12,13,12
11,26,10,15,17,10,7,15,11,13,12
11,27,10,15,18,10,7,15,11,13,12
11,26,12,15,17,10,7,15,11,13,12
11,26,12,15,17,9,7,15,12,13,12
11,26,12,15,17,9,7,14,11,13,11
11,25,12,15,17,9,7,14,11,13,11
11,25,12,15,17,10,7,15,11,12,11
11,26,12,15,16,10,7,15,11,12,11
11,25,14,15,16,10,7,15,11,12,11
11,25,14,15,16,10,7,15,11,12,11
11,24,14,15,15,10,7,15,11,12,11
11,23,14,15,15,10,7,15,11,12,11
10,23,14,16,15,9,7,15,11,12,11
10,23,14,16,16,9,7,14,11,12,12
10,23,14,16,16,9,6,14,12,12,12
10,23,14,16,16,9,6,14,12,12,12
10,23,14,16,16,9,6,14,12,12,11
10,23,14,16,16,9,6,14,11,12,11
10,23,14,16,16,8,6,14,11,12,11
10,23,14,16,17,9,6,14,10,12,12
10,22,15,16,17,9,7,14,10,12,12
10,22,14,16,17,10,6,14,11,11,12
9,22,14,16,16,9,6,14,10,11,10
10,20,16,16,17,9,7,14,10,11,10
10,20,16,16,17,8,8,14,9,10,10
10,20,17,16,16,8,8,14,10,10,10
11,20,17,16,15,8,8,14,10,10,11
11,20,17,16,15,8,7,14,10,11,11
11,20,17,16,15,8,7,14,10,11,11
11,19,16,16,15,8,7,14,10,11,11
11,19,16,15,15,8,7,14,10,10,11
11,19,16,15,14,8,8,14,11,10,11
11,20,15,15,14,8,8,14,11,10,11
11,20,15,15,14,8,8,14,11,10,11
11,20,15,15,14,8,7,14,10,10,11
11,20,14,15,14,8,7,14,10,10,11
11,20,14,16,14,9,7,14,10,11,11
11,20,14,16,13,9,7,12,11,11,12
11,20,13,16,13,9,8,12,12,11,12
12,20,13,16,13,8,8,12,12,11,12
12,20,13,16,14,8,8,12,13,11,12
13,20,14,16,14,8,7,13,13,11,12
12,20,15,15,14,8,7,13,13,12,12
12,20,15,15,13,9,7,13,13,12,11
12,21,13,15,13,9,7,12,13,12,11
12,21,13,15,13,10,8,12,12,12,11
12,21,13,15,14,10,8,11,12,12,12
12,22,13,15,14,10,8,11,12,12,12
12,23,13,15,14,10,7,11,13,11,12
12,23,13,15,13,10,7,12,13,11,12
13,24,13,15,13,9,7,12,13,11,12
13,23,13,16,13,9,7,12,13,12,12
13,24,13,16,13,9,8,14,13,12,13
12,26,11,16,13,9,6,14,13,12,13
12,25,11,16,14,9,6,14,13,12,12
12,27,11,16,15,9,5,14,14,12,11
14,8,12,16,15,9,6,14,14,12,11
14,7,12,15,14,10,6,14,14,11,12
14,2,12,15,14,10,6,15,15,11,13
15,5,11,15,14,10,7,15,15,11,13
14,8,11,15,14,9,7,15,15,12,13
14,8,11,15,14,9,7,15,15,12,13
15,9,11,15,14,9,6,14,14,12,13
15,2,12,15,14,8,6,14,14,12,13
15,4,12,15,15,9,6,14,14,12,13
15,4,12,15,15,9,6,15,15,12,13
15,4,12,15,15,9,6,15,15,13,13
15,5,12,15,14,8,6,15,14,13,13
14,5,12,15,14,8,7,15,14,13,13
14,5,12,15,14,8,8,14,14,12,13
15,5,11,15,16,8,8,16,13,12,14
14,6,11,15,16,9,7,16,13,12,14
14,6,11,16,16,10,7,17,12,11,14
14,6,12,16,15,10,7,17,12,11,13
15,7,13,16,15,10,7,18,12,11,12
15,7,13,15,15,9,7,16,12,10,13
15,7,13,15,15,9,7,15,12,10,13
15,7,12,15,15,9,7,15,12,10,13
15,7,12,16,15,9,7,15,12,11,13
15,8,12,16,15,9,6,16,12,11,14
16,9,12,16,15,9,6,16,12,11,14
16,9,12,16,14,10,6,17,12,10,16
16,9,12,16,14,10,6,15,12,10,16
17,9,12,16,14,10,7,15,12,10,16
16,10,12,17,15,9,7,15,12,10,18
16,10,12,17,14,9,7,15,12,10,17
16,9,12,16,14,9,6,15,12,10,17
16,10,12,16,14,9,6,15,12,11,17
16,10,12,16,14,8,6,16,11,11,16
15,10,12,16,14,8,6,16,11,11,16
15,12,12,16,14,7,7,16,11,10,16
15,12,12,17,15,7,7,17,10,10,17
14,12,12,16,15,7,7,17,10,10,17
14,12,12,17,15,8,7,17,10,10,17
14,12,12,16,15,8,7,16,10,9,15
14,12,13,17,15,9,7,15,10,9,15
14,13,13,18,15,8,7,15,10,10,15
14,13,13,18,15,8,6,16,10,11,15
13,13,13,18,15,8,6,17,10,11,16
13,13,13,20,15,8,6,18,10,12,16
13,13,13,19,14,8,7,19,10,12,15
14,13,13,19,14,8,7,19,10,12,15
14,13,13,20,14,9,7,17,10,12,15
14,12,13,20,15,9,7,17,10,12,15
14,12,13,20,15,9,7,18,10,12,15
14,12,13,20,15,8,7,17,10,13,14
14,14,13,20,14,8,7,18,10,13,13
12,14,12,20,14,8,7,16,11,13,13
13,14,11,20,14,8,7,17,11,13,14
13,12,11,20,14,8,7,17,11,13,13
14,11,12,20,14,8,7,17,11,13,13
14,13,13,20,14,8,7,17,11,13,13
14,13,13,20,14,8,7,15,10,13,12
13,13,13,20,14,8,7,15,10,13,12
13,15,13,20,14,8,6,15,10,13,12
13,16,13,20,14,8,6,17,10,13,11
12,14,12,20,14,8,6,17,10,13,11
12,15,12,19,14,8,7,17,10,13,11
12,15,12,19,14,8,7,18,10,13,11
13,15,13,19,14,8,7,17,10,13,11
13,15,13,19,14,8,7,17,10,14,11
13,14,13,19,14,8,6,17,11,14,11
14,14,13,19,14,8,5,17,11,14,12
14,14,13,18,14,9,5,17,11,13,12
14,14,13,18,15,9,6,16,12,13,13
13,14,12,18,15,9,7,16,12,13,13
13,15,12,17,15,9,7,16,12,12,13
13,15,12,17,14,9,7,16,12,12,13
13,14,13,17,14,9,7,16,12,12,13
13,14,13,16,14,10,7,16,12,13,12
13,13,13,16,16,10,7,17,12,13,13
13,14,12,16,16,10,7,17,12,13,13
13,14,13,15,15,9,7,17,12,12,13
13,13,13,15,14,9,7,17,12,12,12
13,13,14,15,14,9,6,17,12,12,12
13,14,14,15,14,9,6,17,12,12,12
12,15,14,15,16,9,6,17,13,12,13
12,14,14,15,16,9,6,17,13,12,13
12,14,14,16,16,9,7,17,13,11,13
13,15,14,16,16,9,7,17,12,11,13
12,15,15,16,16,9,8,18,12,11,13
12,15,15,14,16,9,8,18,12,12,13
12,13,14,14,17,9,8,17,13,13,14
